id;Pedido;Cliente;DATA_PEDIDO;DTA_CRIA_OM;DTA_LIBERACAO_CREDITO;DATA_EST_PICK;STATUS;DATA_GERACAO_NF;DAT_MINUTA;Editora;sku;volume;peso;valor;NF
SCI1346808;1346808;DIEGO LUBITZ LAUTERT - ME;;;04/11/2016;04/11/2016;FINALIZADO;05/11/2016;07/11/2016;SCIPIONE;2;4;0,63;115,24;98241
SCI1346943;1346943;C. A. COPOLA - LIVRARIA E PAPELARIA LTDA - EPP;;;;08/11/2016;FINALIZADO;08/11/2016;09/11/2016;SCIPIONE;6;8;2,87;423,84;98302
REQ33627;33627;EDITORA SCIPIONE S/A;;;;10/11/2016;FINALIZADO;11/11/2016;11/11/2016;REQUISICAO SCIPIONE;2;6;0,6;494,63;98388
SCI1355853;1355853;LIVRARIA LIVRO FACIL LTDA;;;24/11/2016;24/11/2016;FINALIZADO;26/11/2016;28/11/2016;SCIPIONE;12;723;266,43;32226,68;98746
SCI1356284;1356284;CORUJET IMPORTACAO E EXPORTACAO LTDA - EPP;;;25/11/2016;28/11/2016;FINALIZADO;29/11/2016;15/12/2016;SCIPIONE;1;3;6;452,03;98781
SCI1251022;1251022;EDITORA ATICA S/A;;;;01/12/2016;FINALIZADO;01/12/2016;01/12/2016;SCIPIONE;3;3;3,384;180,78;98857
SCI1367731;1367731;FERNANDA DE OLIVEIRA RODRIGUES & CIA LTDA ME;;;;02/12/2016;FINALIZADO;07/12/2016;08/12/2016;SCIPIONE;4;4;0,505;34,36;99002
SCI1368178;1368178;DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A;;;05/12/2016;08/12/2016;FINALIZADO;09/12/2016;13/12/2016;SCIPIONE;3;125;25,35;2541,88;99050
SCI1369753;1369753;CENTRO EDUCACIONAL EVOLUIR LTDA ME;;;;12/12/2016;FINALIZADO;14/12/2016;15/12/2016;SCIPIONE;2;2;0,873;8,24;99271
SCI1375341;1375341;BAZAR E PAPELARIA TAKAHASHI LTDA - EPP;;;;14/12/2016;FINALIZADO;15/12/2016;16/12/2016;SCIPIONE;1;3;0,375;85,43;99367
SCI1377084;1377084;ITAGYBA COMERCIAL LTDA - ME;;;16/12/2016;19/12/2016;FINALIZADO;22/12/2016;23/12/2016;SCIPIONE;19;350;103,425;14961,53;99618
SCI1383776;1383776;GALLAFASSI EDITORA E DISTRIBUIDORA LTDA.;;;03/01/2017;03/01/2017;FINALIZADO;04/01/2017;;SCIPIONE;10;163;31,215;3036,02;99946
SCI1384818;1384818;EPA ESPACO PADUANO DE APRENDIZAGEM LTDA - ME;;;;04/01/2017;FINALIZADO;05/01/2017;;SCIPIONE;2;2;0,873;8,24;Entrega Confirmada
SCI1346785;1346785;B.M.B. DISTRIBUIDORA DE LIVROS LTDA;;;;04/11/2016;FINALIZADO;07/11/2016;07/11/2016;SCIPIONE;56;167;21,357;1629,37;98255
REQ33545;33545;EDITORA SCIPIONE S/A;;;;10/11/2016;FINALIZADO;11/11/2016;11/11/2016;REQUISICAO SCIPIONE;9;590;397,25;15375,25;98360
SCI1347594;1347594;BAZAR PAPIDEL LTDA;;;10/11/2016;10/11/2016;FINALIZADO;11/11/2016;11/11/2016;SCIPIONE;1;1;0,11;28,48;98377
SCI1347956;1347956;PATRICIA SANCHES;;;;11/11/2016;FINALIZADO;12/11/2016;17/11/2016;SCIPIONE;5;15;5,7;18,75;98392
SCI1354674;1354674;LUCIA TULCHINSKI;;;;18/11/2016;FINALIZADO;18/11/2016;21/11/2016;SCIPIONE;1;10;1,95;114,8;98509
SCI1355927;1355927;ACEL ADMINISTRACAO DE CURSOS EDUCACIONAIS LTDA;;;24/11/2016;25/11/2016;FINALIZADO;26/11/2016;28/11/2016;SCIPIONE;24;72;11,364;1541,1;98743
SCI1367950;1367950;OCEANO LIVRARIA E PAPELARIA EIRELI - EPP;;;02/12/2016;02/12/2016;FINALIZADO;07/12/2016;08/12/2016;SCIPIONE;14;30;18,255;2340,19;99006
SCI1368032;1368032;FEIRA LIVRO COMERCIO LTDA;;;;08/12/2016;FINALIZADO;09/12/2016;12/12/2016;SCIPIONE;2;4;0,535;111,48;99052
SCI1369774;1369774;ASSOCIACAO EDUCACIONAL LUMEN;;;12/12/2016;13/12/2016;FINALIZADO;13/12/2016;14/12/2016;SCIPIONE;11;11;1,745;286,44;99229
SCI1376728;1376728;DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A;;;16/12/2016;21/12/2016;FINALIZADO;26/12/2016;29/12/2016;SCIPIONE;42;1008;436,766;61525,38;99726
SCI1378321;1378321;ITAGYBA COMERCIAL LTDA - ME;;;;26/12/2016;FINALIZADO;28/12/2016;28/12/2016;SCIPIONE;1;10;11,4;700;99817
SCI1376889;1376889;LIVRARIA CULTURA S/A;;;16/12/2016;20/12/2016;FINALIZADO;29/12/2016;29/12/2016;SCIPIONE;357;2010;788,218;96368,69;99849
SCI1384353;1384353;SARAIVA E SICILIANO S/A;;;03/01/2017;03/01/2017;FINALIZADO;04/01/2017;;SCIPIONE;16;55;9,64;1401,22;99934
SCI1384920;1384920;COL MODULO SS LTDA EPP;;;;05/01/2017;FINALIZADO;05/01/2017;;SCIPIONE;68;83;11,855;1869,48;Entrega Confirmada
REQ35032;35032;;;;;;CANCELADO;;;REQUISICAO SCIPIONE;78;0;;;0
SCI1378089;1378089;;;;;;BLOQUEADO;;;SCIPIONE;1;0;;;Em Conferencia
REQ34900;34900;;;;;;CANCELADO;;;REQUISICAO SCIPIONE;11;0;;;0
