id;Pedido;Cliente;DATA_PEDIDO;DTA_CRIA_OM;DTA_LIBERACAO_CREDITO;DATA_EST_PICK;STATUS;DATA_GERACAO_NF;DAT_MINUTA;Editora;sku;volume;peso;valor;NF
SER1368487;1368487;PREFEITURA MUNICIPAL DE SERTANOPOLIS;;;;06/12/2016;FINALIZADO;07/12/2016;08/12/2016;SER;17;17;7,735;232,23;252503
SER1368533;1368533;FUNDA€ÇO CASTRO ALVES;;;;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;SER;300;893;205,912;1109,34;253029
SER1368604;1368604;ASSOCIACAO BENEFICENTE DA INDUSTRIA CARBONIFERA DE;;;;08/12/2016;FINALIZADO;09/12/2016;09/12/2016;SER;93;614;157,273;808,73;252614
ATI1368608;1368608;BOOKPARTNERS BRASIL EDITORA E DISTRIBUIDORA DE LIV;;;;09/12/2016;FINALIZADO;10/12/2016;12/12/2016;ATICA;1;9;6,48;406,58;252750
ATI1368648;1368648;DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A;;;06/12/2016;13/12/2016;FINALIZADO;13/12/2016;15/12/2016;ATICA;40;200;33,735;3556,05;253048
SER1368682;1368682;MARIA EVANUZIA DE CARVALHO NOGUEIRA  ME;;;;08/12/2016;FINALIZADO;09/12/2016;13/12/2016;SER;11;147;57,12;772,51;252676
SER1368683;1368683;MARIA EVANUZIA DE CARVALHO NOGUEIRA  ME;;;;08/12/2016;FINALIZADO;09/12/2016;13/12/2016;SER;8;12;5,115;63,08;252613
ATI1368691;1368691;A. J. P. TOSTA - ME;;;07/12/2016;11/12/2016;FINALIZADO;12/12/2016;14/12/2016;ATICA;1;5;2,7;359,7;252850
ATI1368701;1368701;CLASSICA DISTRIBUIDORA DE LIVROS LTDA;;;13/12/2016;14/12/2016;FINALIZADO;14/12/2016;15/12/2016;ATICA;17;671;105,47;14166,98;253242
ATI1368734;1368734;A. J. P. TOSTA - ME;;;07/12/2016;11/12/2016;FINALIZADO;12/12/2016;12/12/2016;ATICA;11;122;75,815;9417,24;252793
ATI1368755;1368755;CLASSICA DISTRIBUIDORA DE LIVROS LTDA;;;13/12/2016;14/12/2016;FINALIZADO;16/12/2016;16/12/2016;ATICA;35;4280;3006,8;324834,53;253464
ATI1368754;1368754;ANTONIO VIEIRA DA SILVA ARARAQUARA ME;;;;11/12/2016;FINALIZADO;12/12/2016;12/12/2016;ATICA;9;14;11,6;1385,24;252788
SER1368788;1368788;COB DIADEMA SERVIOS LTDA - ME;;;;08/12/2016;FINALIZADO;09/12/2016;09/12/2016;SER;170;340;72,826;415,12;252639
ATI1368791;1368791;PATRICIA CHRISTINA MONTEZANO CINTRA;;;;11/12/2016;FINALIZADO;12/12/2016;15/12/2016;ATICA;23;23;23,28;28,75;252808
ATI1368837;1368837;SOCIEDADE DE ENSINO SUPERIOR MINEIRO LTDA - SESM -;;;;08/12/2016;FINALIZADO;08/12/2016;12/12/2016;ATICA;9;508;8,465;165,89;252572
REQ34988;34988;EDITORA ATICA S/A;;;;07/12/2016;FINALIZADO;07/12/2016;07/12/2016;REQUISICAO ATICA;15;19;14,675;1953,1;252450
ATI1368801;1368801;DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A;;;07/12/2016;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;ATICA;1;7500;1725;41475;252945
ATI1368826;1368826;B.M.B. DISTRIBUIDORA DE LIVROS LTDA;;;07/12/2016;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;ATICA;1;2500;575;13825;252944
ATI1368797;1368797;SARAIVA E SICILIANO S/A;;;07/12/2016;11/12/2016;FINALIZADO;12/12/2016;12/12/2016;ATICA;8;25;3,055;415,34;252834
ATI1368881;1368881;PAPELARIA E LIVRARIA PEIXINHO DOURADO LT;;;07/12/2016;11/12/2016;FINALIZADO;12/12/2016;13/12/2016;ATICA;4;45;28,625;3734,23;252886
ATI1368803;1368803;SARAIVA E SICILIANO S/A;;;07/12/2016;11/12/2016;FINALIZADO;12/12/2016;12/12/2016;ATICA;11;31;5,66;758,24;252810
ATI1368950;1368950;EDUCANDµRIO SANTOS DUMONT LTDA;;;;08/12/2016;FINALIZADO;08/12/2016;12/12/2016;ATICA;1;1;0,375;0,36;252593
SER1368997;1368997;ESCOLA CECILIA MEIRELES S/C LTDA - ME;;;;12/12/2016;FINALIZADO;13/12/2016;16/12/2016;SER;34;58;41,076;1427,15;253001
ATI1369000;1369000;AMAZON SERVICOS DE VAREJO DO BRASIL LTDA;;;08/12/2016;11/12/2016;FINALIZADO;12/12/2016;16/12/2016;ATICA;1;1;0,07;13,65;252825
ATI1369035;1369035;FEIRA LIVRO COMERCIO LTDA;;;;11/12/2016;FINALIZADO;12/12/2016;13/12/2016;ATICA;1;1;0,415;38,94;252823
ATI1369038;1369038;LIVRARIA LIVRO FACIL LTDA;;;08/12/2016;13/12/2016;FINALIZADO;15/12/2016;16/12/2016;ATICA;31;148;42,65;5611,65;253313
REQ34795;34795;EDITORA ATICA S/A;;;;08/12/2016;FINALIZADO;09/12/2016;12/12/2016;REQUISICAO ATICA;2;250;120,25;3728,75;252725
ATI1369127;1369127;F. BRASIL LTDA;;;08/12/2016;11/12/2016;FINALIZADO;13/12/2016;16/12/2016;ATICA;29;608;127,14;15482,88;253086
SER1369152;1369152;EDITORA ATICA S/A;;;;12/12/2016;FINALIZADO;12/12/2016;26/12/2016;SER;10;350;201,54;2536,15;252902
SER1369163;1369163;EDITORA ATICA S/A;;;;12/12/2016;FINALIZADO;12/12/2016;26/12/2016;SER;5;78;32,855;609,35;252899
ATI1369323;1369323;PAPELARIA E LIVRARIA CHIQUINHO LTDA;;;09/12/2016;11/12/2016;FINALIZADO;12/12/2016;12/12/2016;ATICA;5;5;0,97;151,39;252776
SER1369328;1369328;ESCOLA SHEKINAH EDUCACAO INFANTIL E ENSINO FUNDAME;;;09/12/2016;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;SER;32;71;44,86;120,88;253004
ATI1369334;1369334;RICARDO LUIZ RIBAS GOMES MARTINS;;;;13/12/2016;FINALIZADO;14/12/2016;15/12/2016;ATICA;19;213;186,19;266,25;253206
REQ34843;34843;EDITORA ATICA S/A;;;;07/12/2016;FINALIZADO;09/12/2016;12/12/2016;REQUISICAO ATICA;4;600;531,75;3000;252665
ATI1369388;1369388;SERVICOS EDUCACIONAIS RINALDO E RITA DE CASSIA LTD;;;;12/12/2016;FINALIZADO;13/12/2016;13/12/2016;ATICA;1;1;0,375;0,36;253008
SER1369427;1369427;ESCOLA BATISTA ARCA DE NOE LTDA - EPP;;;;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;SER;6;12;6,97;20;253036
SER1369432;1369432;CERTO  COLEGIO ENSINO FUNDAMENTAL E MEDIO;;;;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;SER;1;1;2,36;6,27;252990
ATI1369434;1369434;LIVRARIA DA VILA LTDA;;;09/12/2016;11/12/2016;FINALIZADO;12/12/2016;13/12/2016;ATICA;2;3;0,685;91,45;252827
ATI1369473;1369473;COLEGIO EVOLUCAO LTDA ME;;;;12/12/2016;FINALIZADO;13/12/2016;13/12/2016;ATICA;1;1;0,198;1,25;252966
ATI1369479;1369479;EDUCATIVA DE ARARAQUARA ESC;;;;12/12/2016;FINALIZADO;13/12/2016;13/12/2016;ATICA;1;1;0,198;1,25;252984
SER1369480;1369480;LIVRARIA LIVRO FACIL LTDA;;;09/12/2016;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;SER;23;2880;1697,52;118075,2;253062
ATI1369488;1369488;SOCIEDADE DE ENSINO SUPERIOR MINEIRO LTDA - SESM -;;;;12/12/2016;FINALIZADO;13/12/2016;13/12/2016;ATICA;1;1;0,198;1,25;252972
SER1369490;1369490;FUNDA€ÇO CASTRO ALVES;;;;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;SER;33;858;328,854;4731,76;252953
ATI1369493;1369493;ESCOLA CIRANDA DAS LETRAS LTDA - ME;;;;13/12/2016;FINALIZADO;14/12/2016;14/12/2016;ATICA;1;1;0,198;1,25;253141
SER1369500;1369500;LIVRARIA LIVRO FACIL LTDA;;;09/12/2016;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;SER;68;1720;904,01;97676,47;253047
ATI1369502;1369502;RICARDO LUIZ RIBAS GOMES MARTINS;;;;13/12/2016;FINALIZADO;14/12/2016;;ATICA;3;18;29,61;22,5;253174
ATI1369510;1369510;GALLAFASSI EDITORA E DISTRIBUIDORA LTDA.;;;09/12/2016;11/12/2016;FINALIZADO;15/12/2016;21/12/2016;ATICA;1;50;31,5;3315;253271
SER1369551;1369551;EDITORA ATICA S/A;;;;12/12/2016;FINALIZADO;12/12/2016;26/12/2016;SER;5;261;92,99;4617,96;252911
REQ35049;35049;EDITORA ATICA S/A;;;;09/12/2016;FINALIZADO;11/12/2016;12/12/2016;REQUISICAO ATICA;35;38;25,09;4389,18;252766
ATI1369579;1369579;GIOVANE LEAL NOVAES DE CARVALHO LIMA - ME;;;;13/12/2016;FINALIZADO;15/12/2016;15/12/2016;ATICA;19;19;3,27;204,54;253262
ATI1369582;1369582;SARAIVA E SICILIANO S/A;;;;;BLOQUEADO;;;ATICA;3;30;20,1;3098,97;Em Conferencia
ATI1369583;1369583;SARAIVA E SICILIANO S/A;;;09/12/2016;11/12/2016;FINALIZADO;12/12/2016;27/12/2016;ATICA;3;30;20,1;3098,97;252843
SER1369597;1369597;ESCOLA BATISTA ARCA DE NOE LTDA - EPP;;;;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;SER;6;160;57,49;840,81;252994
ATI1369611;1369611;SARAIVA E SICILIANO S/A;;;09/12/2016;11/12/2016;FINALIZADO;13/12/2016;19/12/2016;ATICA;14;39;6,41;853;253030
ATI1369738;1369738;COLEGIO ESTACAO EIRELI - ME;;;;13/12/2016;FINALIZADO;14/12/2016;19/12/2016;ATICA;3;105;34,825;131,25;253096
ATI1369747;1369747;ADALBERTO GODAS MENDES - ME;;;;14/12/2016;FINALIZADO;14/12/2016;15/12/2016;ATICA;5;38;44,21;3740,96;253205
ATI1369768;1369768;GRACIANO BORBOREMA JUNIOR;;;;13/12/2016;FINALIZADO;15/12/2016;19/12/2016;ATICA;6;28;19,93;898,04;253328
ATI1369821;1369821;LIVRARIA DA VILA LTDA;;;;12/12/2016;FINALIZADO;13/12/2016;14/12/2016;ATICA;1;3;0,45;88,73;253019
ATI1369901;1369901;BJïS BOOKSTORE COMERCIO DE LIVROS E REVISTAS LTDA ;;;;14/12/2016;FINALIZADO;14/12/2016;15/12/2016;ATICA;5;24;8,745;1102,47;253202
ATI1369913;1369913;LIVRARIA LIVRO FACIL LTDA;;;;;BLOQUEADO;;;ATICA;5;188;289,61;29070,44;Em Conferencia
SER1369938;1369938;IVANEIDE PIRES DE MENEZES ME;;;;13/12/2016;FINALIZADO;14/12/2016;19/12/2016;SER;33;33;17,596;1056,66;253114
SER1369942;1369942;IVANEIDE PIRES DE MENEZES ME;;;;13/12/2016;FINALIZADO;14/12/2016;19/12/2016;SER;4;4;0,876;84,08;253119
ATI1369963;1369963;GALLAFASSI EDITORA E DISTRIBUIDORA LTDA.;;;;13/12/2016;FINALIZADO;15/12/2016;16/12/2016;ATICA;2;16;19,765;1533,63;253338
ATI1369560;1369560;MD DISTRIBUIDORA DE LIVROS LTDA - EPP;;;14/12/2016;15/12/2016;FINALIZADO;16/12/2016;21/12/2016;ATICA;17;824;889,36;76655,19;253481
ATI1370023;1370023;DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A;;;;13/12/2016;FINALIZADO;15/12/2016;16/12/2016;ATICA;1;1;0,175;24,48;253340
ATI1369973;1369973;GALLAFASSI EDITORA E DISTRIBUIDORA LTDA.;;;15/12/2016;16/12/2016;FINALIZADO;21/12/2016;27/12/2016;ATICA;38;3819;2780,505;333329,36;253997
ATI1369678;1369678;ABC DISTRIBUIDORA DE LIVROS LTDA - ME;;;14/12/2016;16/12/2016;FINALIZADO;18/12/2016;19/12/2016;ATICA;29;975;245,535;24244,38;253675
ATI1370438;1370438;LEGAL LIVROS LTDA - EPP;;;13/12/2016;14/12/2016;FINALIZADO;18/12/2016;19/12/2016;ATICA;25;430;65,97;8421,63;253670
ATI1374858;1374858;FLORIANA TOSCANO CAVALLETE;;;;13/12/2016;FINALIZADO;14/12/2016;14/12/2016;ATICA;1;1;0,975;33,25;253106
ATI1374865;1374865;GUIOMAR PRADO LIMA ME;;;;13/12/2016;FINALIZADO;13/12/2016;14/12/2016;ATICA;9;9;1,675;447;253018
ATI1374891;1374891;C. A. COPOLA - LIVRARIA E PAPELARIA LTDA - EPP;;;;15/12/2016;FINALIZADO;15/12/2016;16/12/2016;ATICA;15;66;61,757;6928,91;253382
ATI1374934;1374934;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;ATICA;7;420;87,945;7725,64;0
ATI1370030;1370030;L.M.M.DIAS - ME;;;;14/12/2016;FINALIZADO;14/12/2016;15/12/2016;ATICA;1;10;2,35;535,5;253196
SER1374957;1374957;ESCOLA CEFI - CENTRO DE EDUCACAO E FORMACAO INTEGR;;;13/12/2016;13/12/2016;FINALIZADO;14/12/2016;15/12/2016;SER;323;830;169,941;959,48;253199
ATI1374971;1374971;DE OLHO NO LIVRO DISTRIBUIDORA LTDA - EPP;;;;14/12/2016;FINALIZADO;14/12/2016;15/12/2016;ATICA;1;7;7,91;886,59;253185
ATI1374995;1374995;B.M.B. DISTRIBUIDORA DE LIVROS LTDA;;;;14/12/2016;FINALIZADO;14/12/2016;15/12/2016;ATICA;2;6;1,068;66,03;253188
SER1374999;1374999;COLEGIO MONTEIRO LOBATO LIMITADA - EPP;;;;14/12/2016;FINALIZADO;14/12/2016;16/12/2016;SER;6;6;4,305;19,33;253207
ATI1375012;1375012;GEPEC - GRUPO DE ESTUDOS E PESQUISA EM ENSINO DE C;;;;14/12/2016;FINALIZADO;15/12/2016;19/12/2016;ATICA;1;3;0,465;31,89;253287
SER1375032;1375032;CENTRO EDUCACIONAL MARIA DE LOURDES SOUZA VERAS LT;;;;14/12/2016;FINALIZADO;15/12/2016;19/12/2016;SER;123;385;76,277;462,23;253298
SER1375076;1375076;EDITORA ATICA S/A;;;;13/12/2016;FINALIZADO;14/12/2016;26/12/2016;SER;34;3150;1688,469;18044,94;253133
ATI1375135;1375135;LIVRARIA INTERNACIONAL-SBS LTDA;;;;14/12/2016;FINALIZADO;14/12/2016;16/12/2016;ATICA;2;2;1,315;204,04;253200
ATI1375136;1375136;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;ATICA;7;610;148,15;10899,4;0
ATI1375152;1375152;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;ATICA;7;765;193,675;13539,6;0
ATI1375216;1375216;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;ATICA;6;530;89,8;9335,2;0
ATI1375133;1375133;LIVRARIA LIVRO FACIL LTDA;;;13/12/2016;15/12/2016;FINALIZADO;20/12/2016;26/12/2016;ATICA;42;642;223,149;26556,5;253768
ATI1375254;1375254;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;ATICA;6;398;72,215;7047,36;0
ATI1375278;1375278;CRUZ AZUL DE SAO PAULO;;;;;BLOQUEADO;;;ATICA;6;377;66,235;6645,4;0
ATI1375285;1375285;SARAIVA E SICILIANO S/A;;;13/12/2016;14/12/2016;FINALIZADO;14/12/2016;20/12/2016;ATICA;4;1139;108,675;22985,77;253191
ATI1375323;1375323;KATIA CILENE RILLOS MARAN - ME;;;;14/12/2016;FINALIZADO;14/12/2016;15/12/2016;ATICA;1;1;0,155;41,21;253201
ATI1375331;1375331;B.M.B. DISTRIBUIDORA DE LIVROS LTDA;;;15/12/2016;16/12/2016;FINALIZADO;21/12/2016;22/12/2016;ATICA;141;8789;6411,605;695577,76;254024
ATI1375344;1375344;B.M.B. DISTRIBUIDORA DE LIVROS LTDA;;;15/12/2016;16/12/2016;FINALIZADO;23/12/2016;23/12/2016;ATICA;19;530;119,605;12635,24;254224
ATI1375348;1375348;LIVRARIA LIVRO FACIL LTDA;;;13/12/2016;14/12/2016;FINALIZADO;14/12/2016;15/12/2016;ATICA;1;7;1,05;184,8;253232
SER1375351;1375351;COLEGIO MONTEIRO LOBATO LIMITADA - EPP;;;;14/12/2016;FINALIZADO;14/12/2016;16/12/2016;SER;7;140;59,8;2442,96;253218
SER1375364;1375364;SERVI€O SOCIAL DA INDUSTRIA;;;;14/12/2016;FINALIZADO;14/12/2016;16/12/2016;SER;45;76;35,591;142,59;253248
SER1375369;1375369;EDITORA ATICA S/A;;;;14/12/2016;FINALIZADO;15/12/2016;26/12/2016;SER;21;605;335,18;4651,65;253346
ATI1375443;1375443;SARAIVA E SICILIANO S/A;;;14/12/2016;15/12/2016;FINALIZADO;16/12/2016;21/12/2016;ATICA;8;27;4,625;574,59;253452
ATI1375461;1375461;SARAIVA E SICILIANO S/A;;;14/12/2016;15/12/2016;FINALIZADO;16/12/2016;19/12/2016;ATICA;4;14;4,27;372,61;253422
ATI1375464;1375464;ALEXANDRE MARQUES MONTEIRO;;;;19/12/2016;FINALIZADO;21/12/2016;23/12/2016;ATICA;1;4;0,44;33,52;253935
SER1375470;1375470;EDUCANDARIO SAO JOSE;;;;15/12/2016;FINALIZADO;15/12/2016;21/12/2016;SER;18;40;23,034;900,22;253380
SER1375550;1375550;ADEILDA FERREIRA  QUIXABEIRA;;;;15/12/2016;FINALIZADO;16/12/2016;23/12/2016;SER;300;1066;265,657;1353,41;253530
ATI1375573;1375573;B.M.B. DISTRIBUIDORA DE LIVROS LTDA;;;14/12/2016;19/12/2016;FINALIZADO;19/12/2016;21/12/2016;ATICA;7;348;182,46;21856,15;253756
ATI1375574;1375574;GRUPO DE ENSINO J. ANGELICA LTDA - ME;;;;14/12/2016;FINALIZADO;14/12/2016;15/12/2016;ATICA;3;3;0,84;39,22;253245
ATI1375584;1375584;KARLA FERNANDES GORDO;;;;15/12/2016;FINALIZADO;16/12/2016;19/12/2016;ATICA;1;1;0,93;33,25;253517
SER1375599;1375599;SORRISO COLEGIO E CURSO LTDA - ME;;;;15/12/2016;FINALIZADO;15/12/2016;21/12/2016;SER;7;17;5,688;357,34;253392
ATI1375642;1375642;DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A;;;;19/12/2016;FINALIZADO;21/12/2016;21/12/2016;ATICA;1;1;0,73;75,82;254010
ATI1375648;1375648;GRUPO DE ENSINO J. ANGELICA LTDA - ME;;;;14/12/2016;FINALIZADO;14/12/2016;15/12/2016;ATICA;4;114;37,48;142,5;253256
ATI1374833;1374833;GALLAFASSI EDITORA E DISTRIBUIDORA LTDA.;;;16/12/2016;16/12/2016;FINALIZADO;27/12/2016;27/12/2016;ATICA;93;5058;4302,83;442181,62;254429
ATI1375666;1375666;FABIO SILVA DOMINGUES;;;;19/12/2016;FINALIZADO;21/12/2016;23/12/2016;ATICA;3;6;4,01;246,96;254009
ATI1375685;1375685;LIVRARIA LIVRO FACIL LTDA;;;14/12/2016;15/12/2016;FINALIZADO;16/12/2016;16/12/2016;ATICA;3;21;4,025;621,18;253445
ATI1375702;1375702;SAMPAIO & OLIVEIRA DISTRIBUIDORA DE LIVROS LTDA.;;;;15/12/2016;FINALIZADO;16/12/2016;26/12/2016;ATICA;4;6;4,15;444,82;253421
ATI1375743;1375743;SAMPAIO & OLIVEIRA DISTRIBUIDORA DE LIVROS LTDA.;;;;15/12/2016;FINALIZADO;16/12/2016;16/12/2016;ATICA;3;39;23,52;2952,36;253443
ATI1375775;1375775;CASA DE LIVROS COMERCIO LTDA - EPP;;;15/12/2016;16/12/2016;FINALIZADO;19/12/2016;20/12/2016;ATICA;32;564;533,535;52425;253761
ATI1375787;1375787;M. M. PAIM EDITORA E DISTRIBUIDORA DE LIVROS LTDA ;;;16/12/2016;19/12/2016;FINALIZADO;23/12/2016;29/12/2016;ATICA;4;270;71,7;12048,75;254249
ATI1375391;1375391;LIVRARIA MARGARIDA DISTRIBUIDORA E REP DE LIVROS L;;;16/12/2016;16/12/2016;FINALIZADO;21/12/2016;23/12/2016;ATICA;42;3915;2543,175;303155,27;254067
ATI1375803;1375803;LAURA MAZZA BAUMEIER MERHY;;;16/12/2016;;CANCELADO;;;ATICA;5;6;2,43;437,85;0
SER1375811;1375811;ASSOCIACAO EDUCACIONAL VIP;;;15/12/2016;15/12/2016;FINALIZADO;16/12/2016;19/12/2016;SER;52;3970;1815,348;130296,8;253589
SER1375828;1375828;COLEGIO SANTANA DE INDEPENDENCIA LTDA - ME;;;;15/12/2016;FINALIZADO;15/12/2016;21/12/2016;SER;9;9;5,226;54,81;253397
ATI1375845;1375845;LIVRARIA DA VILA LTDA;;;;16/12/2016;FINALIZADO;16/12/2016;19/12/2016;ATICA;8;8;0,503;175,01;253572
SER1375855;1375855;MARIA APARECIDA DE ARAUJO;;;;16/12/2016;FINALIZADO;19/12/2016;22/12/2016;SER;171;513;109,659;625,33;253678
SER1375867;1375867;MARIA APARECIDA DE ARAUJO;;;;16/12/2016;FINALIZADO;16/12/2016;22/12/2016;SER;17;34;18,57;63,02;253568
SER1375880;1375880;CENTRO EDUCACIONAL CRIARTE LTDA;;;15/12/2016;15/12/2016;FINALIZADO;16/12/2016;19/12/2016;SER;45;83;43,847;152,68;253479
ATI1375887;1375887;COLEGIO DEO VOLENTE S/S LTDA.;;;15/12/2016;20/12/2016;FINALIZADO;20/12/2016;21/12/2016;ATICA;5;137;79,505;11938,99;253884
SER1375898;1375898;ADEILDA FERREIRA  QUIXABEIRA;;;;16/12/2016;FINALIZADO;17/12/2016;21/12/2016;SER;1;5;11,8;31,37;253620
SER1375899;1375899;ADEILDA FERREIRA  QUIXABEIRA;;;;16/12/2016;FINALIZADO;16/12/2016;21/12/2016;SER;1;2;10,95;160,94;253564
ATI1375907;1375907;MICHELE IACOCCA;;;;16/12/2016;FINALIZADO;17/12/2016;27/12/2016;ATICA;1;2;0,272;19;253626
ATI1375751;1375751;SUPERPEDIDO COMERCIAL S/A;;;19/12/2016;26/12/2016;FINALIZADO;29/12/2016;29/12/2016;ATICA;652;5952;1193,58;168302,12;254571
ATI1375949;1375949;LIVRARIA LIVRO FACIL LTDA;;;15/12/2016;16/12/2016;FINALIZADO;16/12/2016;19/12/2016;ATICA;10;252;191,965;20508,38;253571
ATI1375983;1375983;DEL PAPER LTDA - EPP;;;;16/12/2016;FINALIZADO;18/12/2016;19/12/2016;ATICA;21;348;277,93;38643,22;253671
ATI1376004;1376004;PEREIRA DOS SANTOS DISTRIBUIDORA DE LIVROS E PAPEL;;;15/12/2016;19/12/2016;FINALIZADO;20/12/2016;21/12/2016;ATICA;1;15;3,15;409,5;253874
ATI1376085;1376085;MEF EDITORA LTDA - ME;;;;16/12/2016;FINALIZADO;16/12/2016;19/12/2016;ATICA;1;6;0,36;50,28;253552
ATI1369817;1369817;ESCOLA SANTA INES LTDA - ME;;;15/12/2016;20/12/2016;FINALIZADO;21/12/2016;21/12/2016;ATICA;3;84;33,12;5618,34;253921
SER1376104;1376104;INS EDU MENINO JESUS DE COMEN SOARES;;;15/12/2016;19/12/2016;FINALIZADO;20/12/2016;26/12/2016;SER;65;142;56,366;222,02;253805
SER1376139;1376139;SERVICO SOCIAL DA INDUSTRIA;;;;19/12/2016;FINALIZADO;20/12/2016;23/12/2016;SER;151;442;164,565;707,78;253852
ATI1376145;1376145;MONICA REGINA MACHADO DE ALMEIDA;;;;16/12/2016;FINALIZADO;16/12/2016;27/12/2016;ATICA;1;20;3,3;212,6;253554
SER1376180;1376180;EDITORA ATICA S/A;;;;19/12/2016;FINALIZADO;20/12/2016;21/12/2016;SER;9;135;54,7;757,13;253782
SER1376237;1376237;FERNANDA DE OLIVEIRA RODRIGUES & CIA LTDA ME;;;15/12/2016;19/12/2016;FINALIZADO;20/12/2016;20/12/2016;SER;45;55;28,37;107,91;253800
ATI1376240;1376240;DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A;;;15/12/2016;20/12/2016;FINALIZADO;26/12/2016;27/12/2016;ATICA;3;4542;913,66;105848,49;254332
ATI1376264;1376264;MEF EDITORA LTDA - ME;;;;16/12/2016;FINALIZADO;16/12/2016;19/12/2016;ATICA;1;6;0,42;50,28;253503
ATI1376270;1376270;TLAT PRODUCOES ARTISTICAS LTDA;;;;16/12/2016;FINALIZADO;16/12/2016;27/12/2016;ATICA;1;10;1,9;106,3;253540
ATI1376293;1376293;LUZIA FARACO RAMOS;;;;16/12/2016;FINALIZADO;18/12/2016;19/12/2016;ATICA;1;2;0,2;19;253634
SER1376336;1376336;ADEILDA FERREIRA  QUIXABEIRA;;;;16/12/2016;FINALIZADO;16/12/2016;21/12/2016;SER;1;100;219;2011,8;253576
ATI1376368;1376368;SARAIVA E SICILIANO S/A;;;15/12/2016;16/12/2016;FINALIZADO;16/12/2016;03/01/2017;ATICA;11;62;10,225;1292,17;253586
ATI1376372;1376372;SARAIVA E SICILIANO S/A;;;15/12/2016;16/12/2016;FINALIZADO;19/12/2016;03/01/2017;ATICA;12;33;6,812;816,5;253697
ATI1376396;1376396;ESCOLA DA TRIBO LTDA - ME;;;;20/12/2016;FINALIZADO;22/12/2016;23/12/2016;ATICA;3;3;0,84;39,22;254179
ATI1376398;1376398;ESCOLA DA TRIBO LTDA - ME;;;;19/12/2016;FINALIZADO;19/12/2016;20/12/2016;ATICA;1;1;0,375;0,36;253750
ATI1376438;1376438;COOPERATIVA EDUCACIONAL DE NOBRES - EDUCANOBRES;;;;20/12/2016;FINALIZADO;20/12/2016;21/12/2016;ATICA;9;9;2,336;245;253867
SER1376443;1376443;ESCOLA DE FORMACAO GERENCIAL - EFG - CATAGUASES - ;;;16/12/2016;20/12/2016;FINALIZADO;20/12/2016;22/12/2016;SER;32;1015;525,035;40251,76;253916
SER1376457;1376457;COLEGIO SABER DE OURINHOS LTDA - ME;;;16/12/2016;16/12/2016;FINALIZADO;19/12/2016;20/12/2016;SER;57;586;305,002;32645,34;253722
SER1376458;1376458;COLEGIO SABER DE OURINHOS LTDA - ME;;;16/12/2016;16/12/2016;FINALIZADO;19/12/2016;20/12/2016;SER;169;176;57,569;239,01;253763
SER1376466;1376466;ENSINO FUNDAMENTAL D. PEDRO LTDA ME;;;;19/12/2016;FINALIZADO;19/12/2016;20/12/2016;SER;45;55;23,02;99,43;253760
SER1376583;1376583;KARLA ADRIANA GRACIA MENNA  ME;;;;;BLOQUEADO;;;SER;51;448;198,971;20509,56;0
SER1376593;1376593;ESCOLINHA GENIUS INFANTIL LTDA - ME;;;;20/12/2016;FINALIZADO;21/12/2016;;SER;4;8;1,964;236,04;253930
SER1376602;1376602;FABIO ARAUJO MARTINS PAPELARIA - ME;;;16/12/2016;;BLOQUEADO;;;SER;59;2825;1350,86;128437,5;0
SER1376627;1376627;VIANA BARROSO LIMITADA - ME;;;;21/12/2016;FINALIZADO;21/12/2016;23/12/2016;SER;26;37;22,17;75,98;254058
ATI1376649;1376649;LIVRARIA DA VILA LTDA;;;;21/12/2016;FINALIZADO;27/12/2016;27/12/2016;ATICA;1;251;188,25;15809,24;254369
ATI1376652;1376652;CENTRO EDUCACIONAL COOPENAZA KIDS LTDA - ME;;;16/12/2016;21/12/2016;FINALIZADO;27/12/2016;27/12/2016;ATICA;18;396;243,2;29462,16;254381
ATI1376682;1376682;CLASSICA DISTRIBUIDORA DE LIVROS LTDA;;;16/12/2016;21/12/2016;FINALIZADO;24/12/2016;26/12/2016;ATICA;56;1115;915,675;88857,11;254319
